score,time_step
19.0,19
17.0,36
30.0,66
11.0,77
15.0,92
44.0,136
36.0,172
21.0,193
12.0,205
16.0,221
9.0,230
21.0,251
24.0,275
13.0,288
29.0,317
54.0,371
20.0,391
30.0,421
19.0,440
20.0,460
34.0,494
13.0,507
30.0,537
11.0,548
52.0,600
19.0,619
18.0,637
48.0,685
65.0,750
34.0,784
31.0,815
41.0,856
13.0,869
25.0,894
25.0,919
16.0,935
16.0,951
13.0,964
29.0,993
13.0,1006
25.0,1031
12.0,1043
13.0,1056
24.0,1080
23.0,1103
44.0,1147
41.0,1188
13.0,1201
11.0,1212
14.0,1226
23.0,1249
11.0,1260
21.0,1281
50.0,1331
16.0,1347
46.0,1393
11.0,1404
11.0,1415
20.0,1435
30.0,1465
25.0,1490
24.0,1514
37.0,1551
16.0,1567
17.0,1584
56.0,1640
19.0,1659
12.0,1671
30.0,1701
28.0,1729
31.0,1760
23.0,1783
37.0,1820
13.0,1833
18.0,1851
18.0,1869
15.0,1884
28.0,1912
52.0,1964
17.0,1981
36.0,2017
15.0,2032
14.0,2046
21.0,2067
23.0,2090
17.0,2107
18.0,2125
27.0,2152
41.0,2193
11.0,2204
24.0,2228
19.0,2247
34.0,2281
119.0,2400
19.0,2419
27.0,2446
17.0,2463
13.0,2476
16.0,2492
22.0,2514
10.0,2524
20.0,2544
24.0,2568
25.0,2593
16.0,2609
34.0,2643
15.0,2658
10.0,2668
38.0,2706
14.0,2720
12.0,2732
15.0,2747
23.0,2770
17.0,2787
37.0,2824
16.0,2840
14.0,2854
16.0,2870
98.0,2968
12.0,2980
57.0,3037
20.0,3057
12.0,3069
21.0,3090
15.0,3105
12.0,3117
15.0,3132
26.0,3158
22.0,3180
11.0,3191
16.0,3207
20.0,3227
43.0,3270
11.0,3281
19.0,3300
14.0,3314
16.0,3330
56.0,3386
18.0,3404
10.0,3414
21.0,3435
25.0,3460
71.0,3531
18.0,3549
15.0,3564
13.0,3577
33.0,3610
22.0,3632
13.0,3645
14.0,3659
35.0,3694
29.0,3723
20.0,3743
29.0,3772
13.0,3785
84.0,3869
29.0,3898
23.0,3921
20.0,3941
15.0,3956
16.0,3972
18.0,3990
22.0,4012
27.0,4039
14.0,4053
41.0,4094
18.0,4112
16.0,4128
13.0,4141
42.0,4183
12.0,4195
25.0,4220
10.0,4230
21.0,4251
16.0,4267
22.0,4289
18.0,4307
66.0,4373
31.0,4404
15.0,4419
12.0,4431
13.0,4444
28.0,4472
16.0,4488
21.0,4509
9.0,4518
21.0,4539
68.0,4607
12.0,4619
10.0,4629
16.0,4645
41.0,4686
12.0,4698
38.0,4736
19.0,4755
17.0,4772
20.0,4792
11.0,4803
10.0,4813
16.0,4829
24.0,4853
18.0,4871
22.0,4893
34.0,4927
29.0,4956
20.0,4976
24.0,5000
15.0,5015
26.0,5041
9.0,5050
14.0,5064
10.0,5074
24.0,5098
46.0,5144
55.0,5199
37.0,5236
19.0,5255
15.0,5270
23.0,5293
32.0,5325
14.0,5339
108.0,5447
20.0,5467
32.0,5499
12.0,5511
71.0,5582
24.0,5606
43.0,5649
18.0,5667
49.0,5716
14.0,5730
39.0,5769
43.0,5812
14.0,5826
16.0,5842
61.0,5903
13.0,5916
12.0,5928
32.0,5960
58.0,6018
30.0,6048
54.0,6102
41.0,6143
60.0,6203
26.0,6229
21.0,6250
27.0,6277
33.0,6310
70.0,6380
55.0,6435
13.0,6448
28.0,6476
17.0,6493
28.0,6521
23.0,6544
25.0,6569
20.0,6589
53.0,6642
13.0,6655
107.0,6762
21.0,6783
12.0,6795
17.0,6812
30.0,6842
41.0,6883
17.0,6900
153.0,7053
14.0,7067
41.0,7108
175.0,7283
85.0,7368
75.0,7443
100.0,7543
13.0,7556
15.0,7571
21.0,7592
21.0,7613
107.0,7720
14.0,7734
15.0,7749
11.0,7760
14.0,7774
14.0,7788
17.0,7805
39.0,7844
20.0,7864
15.0,7879
76.0,7955
32.0,7987
24.0,8011
103.0,8114
16.0,8130
29.0,8159
20.0,8179
38.0,8217
15.0,8232
118.0,8350
58.0,8408
10.0,8418
20.0,8438
17.0,8455
23.0,8478
26.0,8504
20.0,8524
16.0,8540
11.0,8551
26.0,8577
23.0,8600
135.0,8735
17.0,8752
59.0,8811
31.0,8842
11.0,8853
16.0,8869
16.0,8885
109.0,8994
19.0,9013
102.0,9115
86.0,9201
52.0,9253
13.0,9266
14.0,9280
51.0,9331
58.0,9389
121.0,9510
132.0,9642
16.0,9658
17.0,9675
37.0,9712
26.0,9738
34.0,9772
144.0,9916
13.0,9929
28.0,9957
99.0,10056
28.0,10084
104.0,10188
100.0,10288
12.0,10300
18.0,10318
30.0,10348
29.0,10377
22.0,10399
28.0,10427
111.0,10538
46.0,10584
14.0,10598
101.0,10699
25.0,10724
15.0,10739
20.0,10759
17.0,10776
57.0,10833
12.0,10845
15.0,10860
115.0,10975
13.0,10988
21.0,11009
79.0,11088
101.0,11189
57.0,11246
15.0,11261
14.0,11275
30.0,11305
94.0,11399
14.0,11413
95.0,11508
11.0,11519
11.0,11530
13.0,11543
21.0,11564
13.0,11577
10.0,11587
10.0,11597
11.0,11608
14.0,11622
12.0,11634
86.0,11720
74.0,11794
34.0,11828
21.0,11849
25.0,11874
14.0,11888
71.0,11959
87.0,12046
77.0,12123
98.0,12221
19.0,12240
16.0,12256
81.0,12337
17.0,12354
108.0,12462
32.0,12494
26.0,12520
35.0,12555
45.0,12600
116.0,12716
12.0,12728
12.0,12740
122.0,12862
96.0,12958
13.0,12971
106.0,13077
12.0,13089
102.0,13191
117.0,13308
15.0,13323
96.0,13419
55.0,13474
27.0,13501
122.0,13623
19.0,13642
111.0,13753
113.0,13866
15.0,13881
16.0,13897
125.0,14022
33.0,14055
44.0,14099
133.0,14232
53.0,14285
53.0,14338
18.0,14356
35.0,14391
44.0,14435
109.0,14544
11.0,14555
120.0,14675
54.0,14729
101.0,14830
111.0,14941
19.0,14960
128.0,15088
101.0,15189
113.0,15302
103.0,15405
122.0,15527
120.0,15647
29.0,15676
120.0,15796
36.0,15832
13.0,15845
160.0,16005
159.0,16164
41.0,16205
212.0,16417
136.0,16553
367.0,16920
291.0,17211
123.0,17334
113.0,17447
153.0,17600
129.0,17729
16.0,17745
33.0,17778
134.0,17912
209.0,18121
283.0,18404
318.0,18722
198.0,18920
148.0,19068
47.0,19115
500.0,19615
471.0,20086
325.0,20411
500.0,20911
119.0,21030
122.0,21152
138.0,21290
479.0,21769
112.0,21881
111.0,21992
115.0,22107
115.0,22222
124.0,22346
399.0,22745
500.0,23245
500.0,23745
500.0,24245
388.0,24633
452.0,25085
500.0,25585
500.0,26085
479.0,26564
500.0,27064
500.0,27564
500.0,28064
500.0,28564
500.0,29064
500.0,29564
500.0,30064
500.0,30564
500.0,31064
500.0,31564
500.0,32064
225.0,32289
254.0,32543
190.0,32733
163.0,32896
205.0,33101
188.0,33289
203.0,33492
261.0,33753
500.0,34253
500.0,34753
500.0,35253
500.0,35753
463.0,36216
500.0,36716
500.0,37216
500.0,37716
500.0,38216
500.0,38716
500.0,39216
500.0,39716
284.0,40000
